'Agency Name','Days after Jan 1','Hours past Midnight','Route Type','Related Non-Motorist','Collision Type',Weather,'Surface Condition',Light,'Traffic Control','Driver Substance Abuse','Non-Motorist Substance Abuse','Pedestrian Movement','Pedestrian Actions','Pedestrian Location','At Fault','Safety Equipment','Lat- Normalized','Long- Normalized','Injury Severity'
MONTGOMERY,45347,23.967,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','Suspect of Alcohol Use','Cross/Enter Not at Intersection',Dart/Dash,'Travel Lane  Location',Yes,None,0.567809,0.981606,'Suspected Serious Injury'
MONTGOMERY,45358,3.767,County,'Cyclist (non-electric)','Single Vehicle',Cloudy,Wet,'Dark - Lighted','Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection','NOT VISIBLE','AT INTERSECTION MARKED CROSSWALK',No,None,0.633324,0.890986,'Suspected Minor Injury'
MONTGOMERY,45423,18.5,'Bicycle Route','Cyclist (non-electric)','Single Vehicle',Rain,Wet,Daylight,'STOP SIGN','None Detected','None Detected','Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane)','FAILURE TO YIELD RIGHT OF WAY','AT INTERSECTION UNMARKED CROSSWALK',Yes,None,0.674863,0.862705,'No Apparent Injury'
MONTGOMERY,45373,7.3,County,Pedestrian,'Single Vehicle',Clear,Dry,Dawn,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.544386,0.913049,'Possible Injury'
MONTGOMERY,45359,8,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection','Failure to Obey Traffic Signs  Signals  or Officer','AT INTERSECTION MARKED CROSSWALK',No,None,0.706526,0.868708,'Possible Injury'
MONTGOMERY,45408,16.267,Ramp,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.578006,0.938706,'No Apparent Injury'
MONTGOMERY,45363,20.867,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected',Standing,'In Roadway Improperly','Travel Lane  Location',Yes,None,0.501785,0.948394,'No Apparent Injury'
MONTGOMERY,45374,8.15,County,Pedestrian,'Single Vehicle',Rain,Wet,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.508332,0.947614,'Possible Injury'
MONTGOMERY,45323,11.833,'Local Route',Pedestrian,'Single Vehicle',Clear,Dry,Daylight,PERSON,'Not Suspect of Alcohol Use  ','None Detected',Standing,None,'Driveway Access',No,None,0.645817,0.848914,'Suspected Minor Injury'
MONTGOMERY,45476,0,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','ALCOHOL PRESENT','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.489418,0.965389,'Fatal Injury'
MONTGOMERY,45404,18.25,County,'Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,Yes,0.680176,0.886249,'Possible Injury'
MONTGOMERY,45369,18.533,County,'Scooter (electric)','Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection','In Roadway Improperly  WRONG WAY RIDING OR WALKING','Travel Lane  Location',Yes,Yes,0.579563,0.966015,'Suspected Minor Injury'
MONTGOMERY,45418,15.817,County,Pedestrian,'Single Vehicle',Cloudy,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter Not at Intersection',Dart/Dash,'Travel Lane  Location',Yes,None,0.558275,0.927601,'Suspected Minor Injury'
MONTGOMERY,45441,16.667,'Maryland (State)','Cyclist (non-electric)','Single Vehicle',Rain,Wet,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,Yes,0.522574,0.910101,'Suspected Minor Injury'
MONTGOMERY,45406,20.533,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.558186,0.939471,'No Apparent Injury'
GAITHERSBURG,45402,20.2,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,Dusk,'NO CONTROLS','None Detected','Suspect of Alcohol Use','Cross/Enter Not at Intersection',Dart/Dash,Shoulder/Roadside,No,None,0.66628,0.876221,'Suspected Minor Injury'
MONTGOMERY,45362,14.067,County,'Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane)',None,'Travel Lane  Location',No,Yes,0.50304,0.949157,'Possible Injury'
MONTGOMERY,45452,0.05,'Maryland (State)','Cyclist (Electric)','Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION UNMARKED CROSSWALK',Yes,None,0.587373,0.934388,'Suspected Minor Injury'
MONTGOMERY,45436,8.85,'US (State)','Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Cycling on Sidewalk',None,Sidewalk,No,Yes,0.547506,0.958916,'Suspected Minor Injury'
MONTGOMERY,45402,15,County,'Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',Dart/Dash,'MIDBLOCK MARKED CROSSWALK',No,None,0.687433,0.872719,'No Apparent Injury'
MONTGOMERY,45344,17,' Public Roadway',Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.510988,0.964773,'No Apparent Injury'
MONTGOMERY,45355,21.167,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Not Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.558607,0.939489,'Suspected Minor Injury'
MONTGOMERY,45443,17.183,County,'Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',Dart/Dash,'AT INTERSECTION UNMARKED CROSSWALK',Yes,None,0.762546,0.834666,'No Apparent Injury'
MONTGOMERY,45366,17.05,County,'Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.537327,0.953253,'Suspected Minor Injury'
MONTGOMERY,45400,20.367,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','STOP SIGN','None Detected','None Detected','Walking/Cycling on Sidewalk','NOT VISIBLE',Sidewalk,No,None,0.712866,0.868276,'No Apparent Injury'
MONTGOMERY,45437,20.017,'Bicycle Route','Cyclist (Electric)','Single Vehicle',Rain,Wet,'Dark - Not Lighted','Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,Yes,0.747828,0.85214,'No Apparent Injury'
MONTGOMERY,45335,9.25,County,Pedestrian,'Single Vehicle',Snow,Slush,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.493889,0.920547,'Possible Injury'
ROCKVILLE,45349,23.8,Municipality,Pedestrian,'Single Vehicle',Rain,Wet,'Dark - Lighted','Pedestrian Crossing','None Detected','Suspect of Alcohol Use','Cross/Enter at Intersection',Dart/Dash,'AT INTERSECTION MARKED CROSSWALK',No,None,0.59629,0.900942,'Suspected Minor Injury'
ROCKVILLE,45373,9.667,Municipality,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected',None,None,'Driveway Access',No,None,0.636789,0.885505,'Possible Injury'
MONTGOMERY,45335,6.7,'Local Route',Pedestrian,'Single Vehicle',Rain,Wet,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.504436,0.947047,'Suspected Serious Injury'
MONTGOMERY,45408,16.267,Ramp,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.578006,0.938706,'No Apparent Injury'
GAITHERSBURG,45335,10.75,'Local Route',Pedestrian,'Single Vehicle',Rain,Wet,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter Not at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.64274,0.870523,'Possible Injury'
MONTGOMERY,45548,4.2,'Maryland (State)',Pedestrian,'Single Vehicle',Cloudy,Wet,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','ILLEGAL DRUG PRESENT','Walking/Riding w/Traffic','WRONG WAY RIDING OR WALKING','ON ROADWAY NOT AT CROSSWALK',Yes,None,0.545313,0.967854,'Fatal Injury'
MONTGOMERY,45383,13,County,Pedestrian,'Single Vehicle',Rain,Wet,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.603123,0.92532,'Suspected Minor Injury'
MONTGOMERY,45407,14.717,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',Yes,None,0.72521,0.873267,'Suspected Minor Injury'
MONTGOMERY,45366,14.55,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.523464,0.933693,'No Apparent Injury'
MONTGOMERY,45334,20.6,County,Pedestrian,'Single Vehicle',Rain,Wet,'Dark - Lighted','Lane Use Control Signal','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.588641,0.978501,'Suspected Minor Injury'
TAKOMA,45436,15.75,'Maryland (State)','Scooter (electric)','Single Vehicle',Clear,Dry,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.49187,0.953874,'Suspected Minor Injury'
MONTGOMERY,45370,17.7,County,Pedestrian,'Single Vehicle',Cloudy,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter Not at Intersection',Dart/Dash,'Travel Lane  Location',Yes,None,0.561129,0.94984,'Suspected Minor Injury'
MONTGOMERY,45383,13.733,County,Pedestrian,'Single Vehicle',Clear,Wet,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.719774,0.843914,'Suspected Minor Injury'
MONTGOMERY,45423,9.5,County,'Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION UNMARKED CROSSWALK',No,Yes,0.495334,0.897611,'No Apparent Injury'
ROCKVILLE,45359,20.2,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','FLASHING TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.606831,0.896054,'Suspected Minor Injury'
MONTGOMERY,45413,17.283,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.720388,0.844763,'Suspected Minor Injury'
ROCKVILLE,45341,16.217,Municipality,'Cyclist (Electric)','Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane)',None,'Driveway Access',No,Yes,0.614407,0.892991,'No Apparent Injury'
MONTGOMERY,45357,16.667,County,Pedestrian,'Single Vehicle',Rain,Wet,Daylight,'STOP SIGN','None Detected','None Detected','Walking/Cycling on Sidewalk','FAILURE TO YIELD RIGHT OF WAY','AT INTERSECTION MARKED CROSSWALK',Yes,None,0.712908,0.842338,'Suspected Minor Injury'
MONTGOMERY,45357,8.633,'Maryland (State)',Pedestrian,'Single Vehicle',Rain,Wet,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.504927,0.944766,'Possible Injury'
MONTGOMERY,45418,10.417,County,Pedestrian,'Single Vehicle',Cloudy,Dry,Daylight,'NO CONTROLS','None Detected','None Detected',' Working',None,'Travel Lane  Location',No,Yes,0.565972,0.924331,'Suspected Minor Injury'
GAITHERSBURG,45365,14.567,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Cycling on Sidewalk',None,Sidewalk,No,None,0.680329,0.86994,'Possible Injury'
MONTGOMERY,45397,21.967,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Not Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection','NOT VISIBLE','AT INTERSECTION UNMARKED CROSSWALK',Yes,None,0.588,0.929672,'Suspected Minor Injury'
MONTGOMERY,45352,1.483,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','FLASHING TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.504689,0.950052,'Suspected Serious Injury'
MONTGOMERY,45652,18.817,'Maryland (State)',Pedestrian,'Single Vehicle',Cloudy,Wet,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection','FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER','ON ROADWAY AT CROSSWALK',Yes,None,0.59689,0.909814,'Fatal Injury'
MONTGOMERY,45447,8.8,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'Intersection ',Yes,None,0.502481,0.948956,'Suspected Serious Injury'
ROCKVILLE,45348,9.717,Municipality,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.645277,0.88632,'Possible Injury'
MONTGOMERY,45345,16.983,County,'Cyclist (Electric)','Single Vehicle',Cloudy,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane)','WRONG WAY RIDING OR WALKING','Intersection ',No,Yes,0.502299,0.936253,'Suspected Minor Injury'
MONTGOMERY,45433,13,County,'Wheelchair (non-electric)','Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'MIDBLOCK MARKED CROSSWALK',No,None,0.720588,0.844583,'Suspected Minor Injury'
MONTGOMERY,45387,22.2,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected','Walking/Cycling on Sidewalk',None,Sidewalk,No,None,0.592052,0.955052,'Fatal Injury'
MONTGOMERY,45408,16.267,Ramp,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.578006,0.938706,'No Apparent Injury'
MONTGOMERY,45347,14.883,County,'Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.585676,0.987752,'Suspected Minor Injury'
MONTGOMERY,45422,20.2,County,Pedestrian,'Single Vehicle',Rain,Wet,'Dark - Not Lighted','Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.576309,0.9834,'Suspected Serious Injury'
ROCKVILLE,45414,16,Municipality,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.645263,0.886271,'Possible Injury'
MONTGOMERY,45412,19.85,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',Dart/Dash,'Intersection ',Yes,None,0.710646,0.87166,'Suspected Minor Injury'
MONTGOMERY,45441,10.5,Municipality,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane)',None,'Travel Lane  Location',No,Yes,0.544713,0.929388,'No Apparent Injury'
MONTGOMERY,45379,19.75,'Local Route','Scooter (electric)','Single Vehicle',Clear,Dry,'Dark - Lighted','TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.528944,0.94186,'Possible Injury'
MONTGOMERY,45350,8.25,County,Pedestrian,'Single Vehicle',Cloudy,Wet,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',Yes,None,0.717726,0.842519,'Suspected Serious Injury'
MONTGOMERY,45393,13.767,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected',Standing,None,'Driveway Access',No,None,0.543289,0.907389,'Suspected Serious Injury'
ROCKVILLE,45388,12.333,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected',None,None,'Driveway Access',No,None,0.585267,0.905115,'Suspected Minor Injury'
ROCKVILLE,45433,10.75,Municipality,'Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,Yes,0.61063,0.88701,'Suspected Minor Injury'
MONTGOMERY,45421,20.983,'Maryland (State)','Cyclist (non-electric)','Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected','Walking/Cycling on Sidewalk',None,Sidewalk,No,None,0.608905,0.926144,'Suspected Minor Injury'
MONTGOMERY,45448,6.95,County,'Scooter (electric)','Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'Travel Lane  Location',No,None,0.6982,0.884006,'Suspected Minor Injury'
MONTGOMERY,45325,20.633,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','NO CONTROLS','None Detected','None Detected',Standing,'In Roadway Improperly','Travel Lane  Location',No,None,0.544615,0.927244,'Suspected Minor Injury'
MONTGOMERY,45416,11.983,County,Pedestrian,'Single Vehicle',Rain,Wet,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.737278,0.84949,'Suspected Minor Injury'
MONTGOMERY,45422,15.25,'Maryland (State)','Scooter (non-Electric)','Single Vehicle',Rain,Wet,Daylight,'STOP SIGN','None Detected','None Detected','Walking/Cycling on Sidewalk',None,'Driveway Access',No,None,0.598387,0.899651,'Suspected Minor Injury'
MONTGOMERY,45400,9.133,County,'Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane)',None,'Intersection ',No,Yes,0.608721,0.829304,'No Apparent Injury'
MONTGOMERY,45422,8.733,'US (State)',Pedestrian,'Single Vehicle',Rain,Wet,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',Yes,None,0.620671,0.98792,'Suspected Minor Injury'
MONTGOMERY,45366,23.417,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Not Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'Travel Lane  Location',No,None,0.69169,0.864684,'Suspected Serious Injury'
MONTGOMERY,45435,16.033,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.505628,0.918106,'Possible Injury'
MONTGOMERY,45388,12.383,'Maryland (State)','Cyclist (non-electric)','Single Vehicle',Cloudy,Dry,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection','Failure to Obey Traffic Signs  Signals  or Officer','AT INTERSECTION MARKED CROSSWALK',Yes,None,0.711646,0.845747,'Suspected Minor Injury'
MONTGOMERY,45442,19.35,'Maryland (State)',Pedestrian,'Sideswipe  Same Direction',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Walking/Cycling on Sidewalk',None,Sidewalk,No,None,0.497296,0.924565,'Possible Injury'
MONTGOMERY,45357,10.75,Municipality,Pedestrian,'Single Vehicle',Cloudy,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',Dart/Dash,'AT INTERSECTION MARKED CROSSWALK',No,None,0.662643,0.877539,'Suspected Minor Injury'
MONTGOMERY,45400,15.233,'Local Route',Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.562464,0.912733,'Suspected Serious Injury'
MONTGOMERY,45362,15.7,'Bicycle Route',Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected',None,None,'ON ROADWAY AT CROSSWALK',No,None,0.662919,0.885483,'Suspected Minor Injury'
MONTGOMERY,45348,16.017,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,Shoulder/Roadside,No,None,0.630199,0.83461,'Suspected Minor Injury'
ROCKVILLE,45399,7.583,Municipality,'Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',Dart/Dash,'MIDBLOCK MARKED CROSSWALK',Yes,Yes,0.608633,0.878293,'Possible Injury'
MONTGOMERY,45337,18.85,'Maryland (State)','Cyclist (non-electric)','Single Vehicle',Clear,Dry,'Dark - Not Lighted','NO CONTROLS','None Detected','None Detected','Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane)',None,'Travel Lane  Location',No,Yes,0.528761,0.939778,'Possible Injury'
MONTGOMERY,45429,14.667,'Maryland (State)',Pedestrian,'Single Vehicle',Cloudy,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.505222,0.9406,'Possible Injury'
MONTGOMERY,45449,9.633,County,'Scooter (non-Electric)','Single Vehicle',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.614623,0.937055,'Suspected Minor Injury'
MONTGOMERY,45431,10.683,County,'Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Walking/Cycling on Sidewalk',None,Sidewalk,No,Yes,0.56942,0.914273,'No Apparent Injury'
MONTGOMERY,45400,11.417,Municipality,Pedestrian,'Single Vehicle',Cloudy,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION UNMARKED CROSSWALK',No,None,0.539421,0.927148,'Possible Injury'
MONTGOMERY,45416,8.5,'Bicycle Route',Pedestrian,'Single Vehicle',Rain,Wet,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.61518,0.910012,'Suspected Minor Injury'
